iter	Passed	Remaining
485	1191	247
486	1193	245
487	1195	242
488	1198	240
489	1200	237
490	1203	235
491	1205	232
492	1207	230
493	1209	227
494	1211	225
495	1214	222
496	1217	220
497	1219	217
498	1221	215
499	1223	212
500	1226	210
501	1230	208
502	1236	206
503	1238	204
504	1241	201
505	1244	199
506	1247	196
507	1249	194
508	1252	191
509	1254	189
510	1257	186
511	1259	184
512	1262	182
513	1266	179
514	1269	177
515	1276	175
516	1280	173
517	1284	171
518	1288	168
519	1292	166
520	1295	164
521	1297	161
522	1301	159
523	1304	156
524	1307	154
525	1310	151
526	1313	149
527	1315	147
528	1318	144
529	1320	142
530	1323	139
531	1325	137
532	1328	134
533	1331	132
534	1333	129
535	1335	127
536	1338	124
537	1340	122
538	1343	119
539	1346	117
540	1348	114
541	1350	112
542	1353	109
543	1355	107
544	1358	104
545	1360	102
546	1362	99
547	1364	97
548	1367	94
549	1369	92
550	1372	89
551	1374	87
552	1376	84
553	1378	82
554	1380	79
555	1382	77
556	1386	74
557	1388	72
558	1390	69
559	1393	67
560	1397	64
561	1400	62
562	1403	59
563	1405	57
564	1407	54
565	1410	52
566	1412	49
567	1415	47
568	1417	44
569	1419	42
570	1422	39
571	1424	37
572	1427	34
573	1431	32
574	1434	29
575	1437	27
576	1439	24
577	1442	22
578	1445	19
579	1447	17
580	1450	14
581	1453	12
582	1455	9
583	1457	7
584	1461	4
585	1463	2
586	1465	0
