iter	RMSE
276	0.1127038542
277	0.1126889905
278	0.1123651405
279	0.112089436
280	0.1118525428
281	0.1117015156
282	0.1113275256
283	0.1110570873
284	0.1109389832
285	0.1106693178
286	0.1104703022
287	0.1102762962
288	0.1099908089
289	0.1097470982
290	0.1095622469
291	0.109193889
292	0.1089872878
293	0.1085676736
294	0.1084828198
295	0.1081100414
296	0.1077716141
297	0.1074701897
298	0.1070755172
299	0.1067812037
300	0.1067632039
301	0.1066138858
302	0.1063688862
303	0.1062078638
304	0.1060830473
305	0.1058868428
306	0.1057443172
307	0.1054199272
308	0.1050967183
309	0.1047444932
310	0.1045941249
311	0.1044684668
312	0.1043454507
313	0.1041585782
314	0.104132939
315	0.1038598195
316	0.1038347034
317	0.1034618945
318	0.1034387873
319	0.1030699715
320	0.1028710806
321	0.1025552724
322	0.102352156
323	0.1021761874
324	0.101803379
325	0.1015049515
326	0.1011632687
327	0.1010686642
328	0.1010555747
329	0.1007480444
330	0.1005605159
331	0.1003246896
332	0.1001180252
333	0.09979147039
334	0.09946169712
335	0.09937937346
336	0.09911479959
337	0.0989004299
338	0.09875173791
339	0.09837192529
340	0.09819094789
341	0.09780427801
342	0.09756703493
343	0.09754659199
344	0.09735947897
345	0.09723190754
346	0.09691538072
347	0.09680397662
348	0.09668677096
349	0.09665997264
350	0.09645200961
351	0.09638685316
352	0.09622775404
353	0.0958038937
354	0.09558556727
355	0.09547863009
356	0.09518782533
357	0.09503810485
358	0.09484033326
359	0.09475140195
360	0.0946228762
361	0.09446519763
362	0.09425004977
363	0.09395433766
364	0.09371828607
365	0.09355111281
366	0.09347412223
367	0.09324660834
368	0.09322866408
369	0.09301381452
370	0.09278840389
371	0.09264855242
372	0.09249558633
373	0.09236312016
374	0.09198952117
375	0.0919181896
376	0.09158951561
377	0.09156069509
378	0.09150707502
379	0.09126371989
380	0.09112957026
381	0.09101877755
382	0.09077734678
383	0.09053167081
384	0.090380258
385	0.09035544423
386	0.09025674508
387	0.0901031671
388	0.08987526516
389	0.08986833946
390	0.08979455263
391	0.08952129955
392	0.08934928281
393	0.08914744747
394	0.08887312578
395	0.08876928761
396	0.08850002368
397	0.08832870793
398	0.08822520774
399	0.08800548405
400	0.08775005564
401	0.08755092036
402	0.08737762298
403	0.0870896381
404	0.0870814137
405	0.08703995338
406	0.08684002773
407	0.0867072773
408	0.08655178034
409	0.08642905563
410	0.08639471285
411	0.08614448664
412	0.08611867073
413	0.0859017586
414	0.08569406472
415	0.08536600979
416	0.08513054768
417	0.08507139182
418	0.08490001358
419	0.0847985459
420	0.08463313122
421	0.08460118775
422	0.08455017935
423	0.08450805008
424	0.08431390002
425	0.08404274086
426	0.08378871249
427	0.08377479976
428	0.08350187794
429	0.0834315626
430	0.0833040592
431	0.08319600549
432	0.08297377146
433	0.08266158266
434	0.08256235688
435	0.08234444707
436	0.08213353737
437	0.08197523751
438	0.08192825773
439	0.08177316875
440	0.08167805665
441	0.08157564771
442	0.08139419463
443	0.08125610481
444	0.08117149625
445	0.08103007716
446	0.08091117572
447	0.08071718441
448	0.08070619933
449	0.08053853511
450	0.08043375029
451	0.08033127332
452	0.08023647159
453	0.07998415789
454	0.07971857115
455	0.07966806561
456	0.07950197278
457	0.07940452025
458	0.07926361945
459	0.07909441336
460	0.07891815453
461	0.07879846574
462	0.07870919772
463	0.07856046174
464	0.07841708556
465	0.07835017092
466	0.07815325378
467	0.07812865772
468	0.07792892123
469	0.07791866039
470	0.077688659
471	0.07756161283
472	0.07746434672
473	0.07730025501
474	0.07704632336
475	0.0768483924
476	0.07672272118
477	0.07652077204
478	0.07639302956
479	0.0762148088
480	0.07609682982
481	0.07606074198
482	0.07605308051
483	0.07596812063
484	0.0758619166
485	0.07576167808
486	0.07564797561
487	0.07547744407
488	0.07544159122
489	0.07533068581
490	0.07513719123
491	0.07499703003
492	0.07492653701
493	0.07490799038
494	0.0748028419
495	0.07472142644
496	0.07460042093
497	0.07435457276
498	0.07413236763
499	0.07398420753
500	0.07371689017
501	0.07366097275
502	0.07348498147
503	0.07337217787
504	0.07311770618
505	0.07307061151
506	0.07276886693
507	0.07259098185
508	0.07246440977
509	0.07242573124
510	0.07228795821
511	0.07224495537
512	0.07210268619
513	0.07188120616
514	0.07182912393
515	0.07164906764
516	0.07158716038
517	0.07145867439
518	0.07127724615
519	0.07112098511
520	0.07094150363
521	0.07082717806
522	0.07076680491
523	0.07071700046
524	0.07066449902
525	0.07062502393
526	0.07048307667
527	0.07041581404
528	0.07034482406
529	0.07019661387
530	0.07009135703
531	0.06999480146
532	0.06983574094
533	0.06974086815
534	0.06964384371
535	0.0695785947
536	0.06944150002
537	0.06940452019
538	0.06923642151
539	0.06916923379
540	0.06907642107
541	0.06901724318
542	0.06885337416
543	0.06877289825
544	0.06867329327
545	0.06858208613
546	0.06850966347
547	0.06833314361
548	0.0682757489
549	0.06813663046
550	0.0680124431
551	0.06795226916
552	0.06793187016
553	0.06789167745
554	0.06775088769
555	0.06768171118
556	0.06763547186
557	0.06747040075
558	0.06734268498
559	0.06726071892
560	0.06719997388
561	0.06703687928
562	0.06694358277
563	0.06680818148
564	0.06672389654
565	0.06650744015
566	0.06641940785
567	0.06630795276
568	0.06620172046
569	0.06610289571
570	0.06592989923
571	0.06586157989
572	0.06584381942
573	0.06577205198
574	0.06568978275
575	0.06552263705
576	0.06532130184
577	0.06529018831
578	0.06525503694
579	0.06496612776
580	0.06485954685
581	0.06474627719
582	0.06471669225
583	0.06464251741
584	0.06453630307
585	0.06447250324
586	0.06437970194
